epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,430.248,2.5115,4.52074,1.2438,0.00574,0.04044,0.00829,0.00372,2.45622,4.09006,1.10248,0.0012375,0.0004125,0.0012375,0.0004125,0.0012375,0.0004125,0.0012375,0.0004125
2,828.818,2.51659,3.43201,1.18116,0.1825,0.1582,0.09551,0.03772,2.53165,2.9699,1.10252,0.00224124,0.000747079,0.00224124,0.000747079,0.00224124,0.000747079,0.00224124,0.000747079
3,1226.98,2.45379,2.86188,1.14185,0.22602,0.22186,0.12802,0.05336,2.41256,2.66705,1.08604,0.00299748,0.000999158,0.00299748,0.000999158,0.00299748,0.000999158,0.00299748,0.000999158
4,1625.27,2.39126,2.62003,1.12769,0.23528,0.24149,0.15605,0.06458,2.35915,2.4917,1.07337,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
5,2020.42,2.36437,2.5744,1.11435,0.2678,0.24846,0.18234,0.07469,2.34113,2.38814,1.05992,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
6,2410.27,2.31054,2.41802,1.09603,0.29782,0.2597,0.19786,0.08203,2.31393,2.30794,1.05574,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
7,2802.16,2.28678,2.36327,1.09097,0.31347,0.26604,0.21299,0.08941,2.28642,2.24882,1.03857,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
8,3195.42,2.28148,2.3189,1.08602,0.32844,0.2644,0.22087,0.09294,2.27306,2.213,1.04073,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
9,3591.02,2.29518,2.38523,1.07116,0.33634,0.26802,0.22296,0.09407,2.26896,2.21382,1.03606,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
10,3984.09,2.28413,2.30312,1.06557,0.32459,0.27876,0.22851,0.09737,2.24979,2.17695,1.03702,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
